[2026-03-04 11:54:45,546][__main__][INFO] - Training for 50000 timesteps with DuelingQNetwork and NormalReplayBuffer
[2026-03-04 11:54:51,529][core][INFO] - Step: 2000, Eval mean: 145.6, Eval std: 12.768711759609895
[2026-03-04 11:54:57,171][core][INFO] - Step: 4000, Eval mean: 107.4, Eval std: 4.004996878900157
[2026-03-04 11:55:03,295][core][INFO] - Step: 6000, Eval mean: 99.9, Eval std: 3.2388269481403293
[2026-03-04 11:55:09,463][core][INFO] - Step: 8000, Eval mean: 105.4, Eval std: 3.3226495451672298
[2026-03-04 11:55:15,860][core][INFO] - Step: 10000, Eval mean: 103.3, Eval std: 30.980800506119913
[2026-03-04 11:55:23,084][core][INFO] - Step: 12000, Eval mean: 179.5, Eval std: 3.442382895611701
[2026-03-04 11:55:30,140][core][INFO] - Step: 14000, Eval mean: 141.0, Eval std: 3.3466401061363023
[2026-03-04 11:55:37,171][core][INFO] - Step: 16000, Eval mean: 149.2, Eval std: 3.4871191548325386
[2026-03-04 11:55:44,142][core][INFO] - Step: 18000, Eval mean: 167.1, Eval std: 15.352198539622917
[2026-03-04 11:55:51,490][core][INFO] - Step: 20000, Eval mean: 248.4, Eval std: 21.772459668122018
[2026-03-04 11:56:00,129][core][INFO] - Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:56:08,308][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:56:16,387][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:56:23,545][core][INFO] - Step: 28000, Eval mean: 183.2, Eval std: 3.655133376499413
[2026-03-04 11:56:31,760][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:56:40,108][core][INFO] - Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:56:48,287][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:56:56,571][core][INFO] - Step: 36000, Eval mean: 493.0, Eval std: 21.0
[2026-03-04 11:57:03,839][core][INFO] - Step: 38000, Eval mean: 189.6, Eval std: 7.889233169326408
[2026-03-04 11:57:12,190][core][INFO] - Step: 40000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:57:19,534][core][INFO] - Step: 42000, Eval mean: 126.2, Eval std: 2.5612496949731396
[2026-03-04 11:57:29,119][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:57:38,535][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:57:45,834][core][INFO] - Step: 48000, Eval mean: 152.3, Eval std: 3.8223029707232783
[2026-03-04 11:57:54,314][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:58:08,431][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2026-03-04 11:58:11,621][__main__][INFO] - Finish training with eval mean: 500.0
