[2026-03-04 17:00:55,050][__main__][INFO] - Training for 50000 timesteps with NormalQNetwork and 4StepReplayBuffer
[2026-03-04 17:00:56,708][core][INFO] - Step: 2000, Eval mean: 203.7, Eval std: 64.34290947726875
[2026-03-04 17:00:58,616][core][INFO] - Step: 4000, Eval mean: 366.0, Eval std: 104.76545232088677
[2026-03-04 17:01:00,455][core][INFO] - Step: 6000, Eval mean: 431.7, Eval std: 90.32502421809805
[2026-03-04 17:01:02,391][core][INFO] - Step: 8000, Eval mean: 424.7, Eval std: 74.02979130052982
[2026-03-04 17:01:04,346][core][INFO] - Step: 10000, Eval mean: 465.6, Eval std: 44.55603213931869
[2026-03-04 17:01:06,313][core][INFO] - Step: 12000, Eval mean: 317.5, Eval std: 24.397745797511703
[2026-03-04 17:01:08,345][core][INFO] - Step: 14000, Eval mean: 407.7, Eval std: 44.4545835657022
[2026-03-04 17:01:10,407][core][INFO] - Step: 16000, Eval mean: 424.6, Eval std: 51.270264286426304
[2026-03-04 17:01:12,485][core][INFO] - Step: 18000, Eval mean: 344.4, Eval std: 29.408162132306057
[2026-03-04 17:01:14,759][core][INFO] - Step: 20000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:17,046][core][INFO] - Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:19,315][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:21,613][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:23,940][core][INFO] - Step: 28000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:26,302][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:28,687][core][INFO] - Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:31,263][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:33,855][core][INFO] - Step: 36000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:36,455][core][INFO] - Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:39,055][core][INFO] - Step: 40000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:41,670][core][INFO] - Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:44,300][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:46,980][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:49,868][core][INFO] - Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:01:52,638][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:02:01,371][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:02:05,675][__main__][INFO] - Finish training with eval mean: 500.0
