[2026-03-04 17:32:09,057][__main__][INFO] - Training for 50000 timesteps with NormalQNetwork and Prioritized3StepReplayBuffer
[2026-03-04 17:32:13,027][core][INFO] - Step: 2000, Eval mean: 167.7, Eval std: 41.99773803432752
[2026-03-04 17:32:17,565][core][INFO] - Step: 4000, Eval mean: 204.9, Eval std: 15.693629280698584
[2026-03-04 17:32:21,834][core][INFO] - Step: 6000, Eval mean: 226.1, Eval std: 11.945291959596467
[2026-03-04 17:32:26,341][core][INFO] - Step: 8000, Eval mean: 320.3, Eval std: 26.57461194448566
[2026-03-04 17:32:30,818][core][INFO] - Step: 10000, Eval mean: 468.2, Eval std: 34.24266344781025
[2026-03-04 17:32:35,328][core][INFO] - Step: 12000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:32:39,856][core][INFO] - Step: 14000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:32:44,419][core][INFO] - Step: 16000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:32:49,027][core][INFO] - Step: 18000, Eval mean: 497.5, Eval std: 5.352569476429054
[2026-03-04 17:32:53,713][core][INFO] - Step: 20000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:32:58,412][core][INFO] - Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:03,136][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:07,900][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:12,698][core][INFO] - Step: 28000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:17,535][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:22,409][core][INFO] - Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:27,426][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:32,395][core][INFO] - Step: 36000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:37,393][core][INFO] - Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:42,426][core][INFO] - Step: 40000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:47,500][core][INFO] - Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:52,569][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:33:57,710][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:34:02,882][core][INFO] - Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:34:08,099][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:34:16,774][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2026-03-04 17:34:20,776][__main__][INFO] - Finish training with eval mean: 500.0
