[2026-03-04 20:35:24,736][__main__][INFO] - Training for 150000 timesteps with NormalQNetwork and NormalReplayBuffer
[2026-03-04 20:35:30,432][core][INFO] - Step: 5000, Eval mean: -266.50892639160156, Eval std: 92.91916691872731
[2026-03-04 20:35:38,216][core][INFO] - Step: 10000, Eval mean: -28.03095932006836, Eval std: 122.64952774929253
[2026-03-04 20:35:45,577][core][INFO] - Step: 15000, Eval mean: -51.5744873046875, Eval std: 64.77216583565166
[2026-03-04 20:35:57,034][core][INFO] - Step: 20000, Eval mean: -181.78400039672852, Eval std: 151.97583112726062
[2026-03-04 20:36:08,222][core][INFO] - Step: 25000, Eval mean: -45.35329895019531, Eval std: 113.04695231163963
[2026-03-04 20:36:28,200][core][INFO] - Step: 30000, Eval mean: -112.96622276306152, Eval std: 25.075878361209316
[2026-03-04 20:36:48,712][core][INFO] - Step: 35000, Eval mean: -79.96197490692138, Eval std: 22.362994527551482
[2026-03-04 20:37:11,265][core][INFO] - Step: 40000, Eval mean: -21.47085910439491, Eval std: 19.35428179481711
[2026-03-04 20:37:32,881][core][INFO] - Step: 45000, Eval mean: -37.10768117904663, Eval std: 21.0075085940379
[2026-03-04 20:37:54,656][core][INFO] - Step: 50000, Eval mean: -18.33908680677414, Eval std: 21.4577393588037
[2026-03-04 20:38:18,172][core][INFO] - Step: 55000, Eval mean: -32.752833461761476, Eval std: 20.037034060465903
[2026-03-04 20:38:43,142][core][INFO] - Step: 60000, Eval mean: -29.578806686401368, Eval std: 16.39975128981252
[2026-03-04 20:39:09,060][core][INFO] - Step: 65000, Eval mean: -29.90560646057129, Eval std: 21.395849924892033
[2026-03-04 20:39:34,481][core][INFO] - Step: 70000, Eval mean: -30.827958202362062, Eval std: 15.547564261065324
[2026-03-04 20:39:59,931][core][INFO] - Step: 75000, Eval mean: -23.101814365386964, Eval std: 19.831274509234234
[2026-03-04 20:40:24,774][core][INFO] - Step: 80000, Eval mean: -58.3686062335968, Eval std: 21.196841124751476
[2026-03-04 20:40:50,574][core][INFO] - Step: 85000, Eval mean: -25.70335078239441, Eval std: 17.07539641252987
[2026-03-04 20:41:14,753][core][INFO] - Step: 90000, Eval mean: -30.433657550811766, Eval std: 17.504594125654716
[2026-03-04 20:41:39,726][core][INFO] - Step: 95000, Eval mean: -24.31040678024292, Eval std: 49.85641014121119
[2026-03-04 20:42:02,129][core][INFO] - Step: 100000, Eval mean: 57.544167804718015, Eval std: 101.41110308933797
[2026-03-04 20:42:28,064][core][INFO] - Step: 105000, Eval mean: -22.041818618774414, Eval std: 20.798280330963216
[2026-03-04 20:42:44,904][core][INFO] - Step: 110000, Eval mean: 170.8982769012451, Eval std: 76.34950658424876
[2026-03-04 20:43:08,136][core][INFO] - Step: 115000, Eval mean: 23.794173097610475, Eval std: 77.15958521313247
[2026-03-04 20:43:24,582][core][INFO] - Step: 120000, Eval mean: 179.40921783447266, Eval std: 80.62138672134866
[2026-03-04 20:43:44,049][core][INFO] - Step: 125000, Eval mean: -67.49279327392578, Eval std: 163.23701208233493
[2026-03-04 20:44:02,921][core][INFO] - Step: 130000, Eval mean: 63.312189388275144, Eval std: 109.99393172397764
[2026-03-04 20:44:17,959][core][INFO] - Step: 135000, Eval mean: 207.29088287353517, Eval std: 33.17737332997691
[2026-03-04 20:44:32,046][core][INFO] - Step: 140000, Eval mean: 182.79611587524414, Eval std: 65.9656333573755
[2026-03-04 20:44:45,548][core][INFO] - Step: 145000, Eval mean: 204.90477294921874, Eval std: 54.359236802134895
[2026-03-04 20:44:58,134][core][INFO] - Step: 150000, Eval mean: 238.83354949951172, Eval std: 36.61054446978467
[2026-03-04 20:45:06,532][core][INFO] - Final Eval mean: 238.83354949951172, Eval std: 36.61054446978467
[2026-03-04 20:45:09,153][__main__][INFO] - Finish training with eval mean: 238.83354949951172
