[2026-03-04 21:06:16,249][__main__][INFO] - Training for 150000 timesteps with DoubleQNetwork and NormalReplayBuffer
[2026-03-04 21:06:24,537][core][INFO] - Step: 5000, Eval mean: -97.01626968383789, Eval std: 29.379278237634846
[2026-03-04 21:06:33,495][core][INFO] - Step: 10000, Eval mean: -4.147355651855468, Eval std: 12.155582899418599
[2026-03-04 21:06:58,427][core][INFO] - Step: 15000, Eval mean: -100.71820907592773, Eval std: 17.857670439337017
[2026-03-04 21:07:21,192][core][INFO] - Step: 20000, Eval mean: -171.76499938964844, Eval std: 66.45391523414618
[2026-03-04 21:07:45,521][core][INFO] - Step: 25000, Eval mean: -149.05641250610353, Eval std: 26.427110733031082
[2026-03-04 21:08:12,152][core][INFO] - Step: 30000, Eval mean: -104.62443618774414, Eval std: 17.621494836285994
[2026-03-04 21:08:41,349][core][INFO] - Step: 35000, Eval mean: -95.50254543423652, Eval std: 40.37253446789193
[2026-03-04 21:09:08,441][core][INFO] - Step: 40000, Eval mean: -135.9562292098999, Eval std: 77.45956335782114
[2026-03-04 21:09:42,656][core][INFO] - Step: 45000, Eval mean: -29.24565894603729, Eval std: 18.245747170879305
[2026-03-04 21:10:20,554][core][INFO] - Step: 50000, Eval mean: -26.791206932067873, Eval std: 16.7013766971681
[2026-03-04 21:10:56,363][core][INFO] - Step: 55000, Eval mean: -19.892334353923797, Eval std: 22.97530005964043
[2026-03-04 21:11:25,865][core][INFO] - Step: 60000, Eval mean: -309.28142700195315, Eval std: 159.44037212666817
[2026-03-04 21:12:00,946][core][INFO] - Step: 65000, Eval mean: -2.0623434245586396, Eval std: 21.90437564904698
[2026-03-04 21:12:35,990][core][INFO] - Step: 70000, Eval mean: 20.790593814849853, Eval std: 64.58761164612328
[2026-03-04 21:13:13,455][core][INFO] - Step: 75000, Eval mean: -28.172869396209716, Eval std: 19.195915112033273
[2026-03-04 21:13:53,116][core][INFO] - Step: 80000, Eval mean: -11.12266888767481, Eval std: 54.45663496707898
[2026-03-04 21:14:30,226][core][INFO] - Step: 85000, Eval mean: -23.967773497104645, Eval std: 23.018351862036113
[2026-03-04 21:15:11,083][core][INFO] - Step: 90000, Eval mean: -17.50108871459961, Eval std: 21.642470156654678
[2026-03-04 21:15:52,123][core][INFO] - Step: 95000, Eval mean: -0.299009370803833, Eval std: 24.194620476744365
[2026-03-04 21:16:31,784][core][INFO] - Step: 100000, Eval mean: -19.64914975762367, Eval std: 17.440357676929537
[2026-03-04 21:17:06,673][core][INFO] - Step: 105000, Eval mean: -20.880191469192503, Eval std: 21.333928785687547
[2026-03-04 21:17:32,384][core][INFO] - Step: 110000, Eval mean: 196.2484375, Eval std: 28.719256994678087
[2026-03-04 21:18:03,891][core][INFO] - Step: 115000, Eval mean: 7.900299453735352, Eval std: 127.47610159976735
[2026-03-04 21:18:37,392][core][INFO] - Step: 120000, Eval mean: 11.404856109619141, Eval std: 110.76994346273418
[2026-03-04 21:19:06,085][core][INFO] - Step: 125000, Eval mean: 37.33872437477112, Eval std: 106.14796729089011
[2026-03-04 21:19:26,078][core][INFO] - Step: 130000, Eval mean: 119.56117553710938, Eval std: 154.13533051218602
[2026-03-04 21:19:43,805][core][INFO] - Step: 135000, Eval mean: 115.94928894042968, Eval std: 131.8840003571766
[2026-03-04 21:19:59,913][core][INFO] - Step: 140000, Eval mean: 146.68991394042968, Eval std: 144.48347057737783
[2026-03-04 21:20:14,196][core][INFO] - Step: 145000, Eval mean: 177.63036880493163, Eval std: 147.39214695213553
[2026-03-04 21:20:29,226][core][INFO] - Step: 150000, Eval mean: 157.2314338684082, Eval std: 159.75990723013538
[2026-03-04 21:20:46,127][core][INFO] - Final Eval mean: 196.2484375, Eval std: 28.719256994678087
[2026-03-04 21:20:52,809][__main__][INFO] - Finish training with eval mean: 196.2484375
