[2026-03-04 21:27:32,326][__main__][INFO] - Training for 200000 timesteps with NormalQNetwork and PrioritizedReplayBuffer
[2026-03-04 21:27:50,671][core][INFO] - Step: 5000, Eval mean: -180.0775146484375, Eval std: 65.23788406752207
[2026-03-04 21:28:11,255][core][INFO] - Step: 10000, Eval mean: -29.723760986328124, Eval std: 133.27654292698824
[2026-03-04 21:28:31,784][core][INFO] - Step: 15000, Eval mean: -103.81283836364746, Eval std: 59.52801326939156
[2026-03-04 21:28:52,420][core][INFO] - Step: 20000, Eval mean: -47.65704574584961, Eval std: 33.393579116715586
[2026-03-04 21:29:21,899][core][INFO] - Step: 25000, Eval mean: -184.582772064209, Eval std: 127.69192735331706
[2026-03-04 21:29:48,671][core][INFO] - Step: 30000, Eval mean: -137.2590202331543, Eval std: 81.21673215035604
[2026-03-04 21:30:25,205][core][INFO] - Step: 35000, Eval mean: -91.14170341491699, Eval std: 44.34108077383134
[2026-03-04 21:31:06,843][core][INFO] - Step: 40000, Eval mean: -79.26965827941895, Eval std: 20.923121800467158
[2026-03-04 21:31:47,937][core][INFO] - Step: 45000, Eval mean: -93.89481468200684, Eval std: 51.84525124167572
[2026-03-04 21:32:32,141][core][INFO] - Step: 50000, Eval mean: -45.74659204483032, Eval std: 19.241366945399484
[2026-03-04 21:33:21,314][core][INFO] - Step: 55000, Eval mean: -42.07820854187012, Eval std: 19.625494065058675
[2026-03-04 21:34:10,955][core][INFO] - Step: 60000, Eval mean: -70.26832027435303, Eval std: 33.904879703808426
[2026-03-04 21:34:58,572][core][INFO] - Step: 65000, Eval mean: -83.9830337524414, Eval std: 29.224957438876814
[2026-03-04 21:35:46,602][core][INFO] - Step: 70000, Eval mean: -89.47722969055175, Eval std: 25.94645365268222
[2026-03-04 21:36:30,864][core][INFO] - Step: 75000, Eval mean: -138.35715942382814, Eval std: 113.89073138402507
[2026-03-04 21:37:19,769][core][INFO] - Step: 80000, Eval mean: -45.18741588592529, Eval std: 23.838652228470863
[2026-03-04 21:38:07,073][core][INFO] - Step: 85000, Eval mean: -67.62078876495362, Eval std: 119.58897589494327
[2026-03-04 21:38:56,413][core][INFO] - Step: 90000, Eval mean: -76.37299833297729, Eval std: 92.95194403654405
[2026-03-04 21:39:43,628][core][INFO] - Step: 95000, Eval mean: -37.40013751983643, Eval std: 160.16129136528622
[2026-03-04 21:40:25,418][core][INFO] - Step: 100000, Eval mean: 1.2868674278259278, Eval std: 160.75025441468068
[2026-03-04 21:41:07,507][core][INFO] - Step: 105000, Eval mean: 116.26389751434326, Eval std: 83.48088455403655
[2026-03-04 21:41:41,865][core][INFO] - Step: 110000, Eval mean: 73.36579666137695, Eval std: 191.56289900842722
[2026-03-04 21:42:15,233][core][INFO] - Step: 115000, Eval mean: 105.70392227172852, Eval std: 84.63730733926666
[2026-03-04 21:42:47,318][core][INFO] - Step: 120000, Eval mean: 80.69588603973389, Eval std: 148.56180805551358
[2026-03-04 21:43:17,371][core][INFO] - Step: 125000, Eval mean: 108.9243049621582, Eval std: 105.65371071982388
[2026-03-04 21:43:46,295][core][INFO] - Step: 130000, Eval mean: 98.6568214416504, Eval std: 170.44155448093986
[2026-03-04 21:44:17,518][core][INFO] - Step: 135000, Eval mean: 48.141768836975096, Eval std: 169.45659785033087
[2026-03-04 21:44:46,353][core][INFO] - Step: 140000, Eval mean: 169.30270919799804, Eval std: 115.46863719537679
[2026-03-04 21:45:15,429][core][INFO] - Step: 145000, Eval mean: 171.5016082763672, Eval std: 75.78786581743262
[2026-03-04 21:45:41,593][core][INFO] - Step: 150000, Eval mean: -20.621773529052735, Eval std: 173.9982295390614
[2026-03-04 21:46:09,097][core][INFO] - Step: 155000, Eval mean: 168.11171875, Eval std: 118.80545537346013
[2026-03-04 21:46:37,694][core][INFO] - Step: 160000, Eval mean: 184.20834913253785, Eval std: 77.72875668452842
[2026-03-04 21:47:04,330][core][INFO] - Step: 165000, Eval mean: 7.234296417236328, Eval std: 197.86093722428006
[2026-03-04 21:47:30,302][core][INFO] - Step: 170000, Eval mean: 190.8726058959961, Eval std: 149.11795014037443
[2026-03-04 21:47:57,174][core][INFO] - Step: 175000, Eval mean: 191.81708831787108, Eval std: 149.71190095465
[2026-03-04 21:48:22,840][core][INFO] - Step: 180000, Eval mean: 248.36214294433594, Eval std: 21.433102504426287
[2026-03-04 21:48:48,294][core][INFO] - Step: 185000, Eval mean: 205.16861953735352, Eval std: 81.10634614601783
[2026-03-04 21:49:14,667][core][INFO] - Step: 190000, Eval mean: 233.67483825683593, Eval std: 48.01085385313319
[2026-03-04 21:49:37,122][core][INFO] - Step: 195000, Eval mean: 193.07021255493163, Eval std: 119.76203161021381
[2026-03-04 21:50:01,901][core][INFO] - Step: 200000, Eval mean: 216.63023834228517, Eval std: 37.68506868499676
[2026-03-04 21:50:11,476][core][INFO] - Final Eval mean: 248.36214294433594, Eval std: 21.433102504426287
[2026-03-04 21:50:15,112][py.warnings][WARNING] - /opt/homebrew/Caskroom/miniconda/base/envs/drl_hw2/lib/python3.10/site-packages/moviepy/video/io/ffmpeg_reader.py:123: UserWarning: Warning: in file best_videos/eval-episode-8.mp4, 720000 bytes wanted but 0 bytes read,at frame 250/251, at time 5.00/5.00 sec. Using the last valid frame instead.
  warnings.warn("Warning: in file %s, "%(self.filename)+

[2026-03-04 21:50:15,137][__main__][INFO] - Finish training with eval mean: 248.36214294433594
