[2026-03-04 21:27:42,374][__main__][INFO] - Training for 200000 timesteps with NormalQNetwork and 3StepReplayBuffer
[2026-03-04 21:27:48,899][core][INFO] - Step: 5000, Eval mean: -361.8053436279297, Eval std: 175.25594979539844
[2026-03-04 21:28:01,327][core][INFO] - Step: 10000, Eval mean: -240.88314361572264, Eval std: 62.970189231675306
[2026-03-04 21:28:10,788][core][INFO] - Step: 15000, Eval mean: -204.1981460571289, Eval std: 89.25408747187369
[2026-03-04 21:28:19,745][core][INFO] - Step: 20000, Eval mean: -133.38825645446778, Eval std: 191.9962406039106
[2026-03-04 21:28:40,829][core][INFO] - Step: 25000, Eval mean: -143.0879867553711, Eval std: 21.583547446942223
[2026-03-04 21:28:57,209][core][INFO] - Step: 30000, Eval mean: -137.69327087402343, Eval std: 26.988031580331096
[2026-03-04 21:29:13,196][core][INFO] - Step: 35000, Eval mean: -185.0549514770508, Eval std: 21.354557594525076
[2026-03-04 21:29:30,772][core][INFO] - Step: 40000, Eval mean: -182.31649627685547, Eval std: 35.14273089968159
[2026-03-04 21:29:59,438][core][INFO] - Step: 45000, Eval mean: -50.44837925434113, Eval std: 23.346022146732153
[2026-03-04 21:30:26,932][core][INFO] - Step: 50000, Eval mean: -42.487354242801665, Eval std: 21.262242277983944
[2026-03-04 21:30:55,890][core][INFO] - Step: 55000, Eval mean: -42.80740737915039, Eval std: 29.593061787223107
[2026-03-04 21:31:23,731][core][INFO] - Step: 60000, Eval mean: -43.58932008743286, Eval std: 24.17322580032352
[2026-03-04 21:31:52,509][core][INFO] - Step: 65000, Eval mean: -46.444774580001834, Eval std: 21.943371567874987
[2026-03-04 21:32:22,860][core][INFO] - Step: 70000, Eval mean: -55.17895641326904, Eval std: 17.207744490572374
[2026-03-04 21:32:51,652][core][INFO] - Step: 75000, Eval mean: 131.85379638671876, Eval std: 62.07248557084643
[2026-03-04 21:33:22,354][core][INFO] - Step: 80000, Eval mean: 95.54885330200196, Eval std: 76.29894729058007
[2026-03-04 21:33:44,979][core][INFO] - Step: 85000, Eval mean: 154.8415941476822, Eval std: 81.76523662053096
[2026-03-04 21:34:15,042][core][INFO] - Step: 90000, Eval mean: 63.09838004112244, Eval std: 88.95160309975446
[2026-03-04 21:34:42,674][core][INFO] - Step: 95000, Eval mean: 109.39760360717773, Eval std: 92.03298556427626
[2026-03-04 21:35:06,896][core][INFO] - Step: 100000, Eval mean: 144.24845199584962, Eval std: 88.79550856266671
[2026-03-04 21:35:31,003][core][INFO] - Step: 105000, Eval mean: 208.4750778198242, Eval std: 21.9406468834552
[2026-03-04 21:35:53,982][core][INFO] - Step: 110000, Eval mean: 101.85697784423829, Eval std: 210.21533232367693
[2026-03-04 21:36:12,993][core][INFO] - Step: 115000, Eval mean: 240.1442413330078, Eval std: 17.185718114493792
[2026-03-04 21:36:34,288][core][INFO] - Step: 120000, Eval mean: 211.56312866210936, Eval std: 47.45511449572156
[2026-03-04 21:36:55,686][core][INFO] - Step: 125000, Eval mean: 169.71413955688476, Eval std: 98.72760924824719
[2026-03-04 21:37:13,058][core][INFO] - Step: 130000, Eval mean: 226.54145050048828, Eval std: 80.40144430254989
[2026-03-04 21:37:30,263][core][INFO] - Step: 135000, Eval mean: 252.29024658203124, Eval std: 18.69884858303442
[2026-03-04 21:37:48,990][core][INFO] - Step: 140000, Eval mean: 184.94293212890625, Eval std: 153.38504565567314
[2026-03-04 21:38:07,383][core][INFO] - Step: 145000, Eval mean: 204.97866973876953, Eval std: 50.21304383979467
[2026-03-04 21:38:24,929][core][INFO] - Step: 150000, Eval mean: 215.04589767456054, Eval std: 112.19739854773727
[2026-03-04 21:38:43,013][core][INFO] - Step: 155000, Eval mean: 162.31886444091796, Eval std: 220.91793106910984
[2026-03-04 21:39:00,457][core][INFO] - Step: 160000, Eval mean: 259.36639404296875, Eval std: 18.23304089267586
[2026-03-04 21:39:19,107][core][INFO] - Step: 165000, Eval mean: 241.917626953125, Eval std: 44.05239043406219
[2026-03-04 21:39:36,054][core][INFO] - Step: 170000, Eval mean: 255.31119689941406, Eval std: 14.079780067447702
[2026-03-04 21:39:53,857][core][INFO] - Step: 175000, Eval mean: 261.5254425048828, Eval std: 16.879589303649777
[2026-03-04 21:40:12,691][core][INFO] - Step: 180000, Eval mean: 253.57674407958984, Eval std: 20.044649268499168
[2026-03-04 21:40:28,120][core][INFO] - Step: 185000, Eval mean: 260.289289855957, Eval std: 13.171896526131729
[2026-03-04 21:40:43,839][core][INFO] - Step: 190000, Eval mean: 203.40239868164062, Eval std: 80.7786788584774
[2026-03-04 21:41:01,515][core][INFO] - Step: 195000, Eval mean: 225.10540466308595, Eval std: 45.958655602642175
[2026-03-04 21:41:16,001][core][INFO] - Step: 200000, Eval mean: 262.82728881835936, Eval std: 19.382445911011274
[2026-03-04 21:41:23,593][core][INFO] - Final Eval mean: 262.82728881835936, Eval std: 19.382445911011274
[2026-03-04 21:41:27,142][__main__][INFO] - Finish training with eval mean: 262.82728881835936
